id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
48_1,3,moderate_growth,0
48_10,2,moderate_growth,0
48_11,2,moderate_growth,0
48_12,2,moderate_growth,0
48_13,2,moderate_growth,0
48_14,2,moderate_growth,0
48_15,2,moderate_growth,0
48_16,2,moderate_growth,0
48_17,2,moderate_growth,0
48_18,2,moderate_growth,0
48_19,2,moderate_growth,0
48_2,3,moderate_growth,0
48_20,2,moderate_growth,0
48_21,2,moderate_growth,0
48_22,2,moderate_growth,0
48_23,2,moderate_growth,0
48_24,1,moderate_growth,0
48_25,3,moderate_growth,0
48_26,3,moderate_growth,0
48_27,1,moderate_growth,0
48_28,1,moderate_growth,0
48_29,3,moderate_growth,0
48_3,3,moderate_growth,0
48_30,2,moderate_growth,0
48_31,2,moderate_growth,0
48_32,2,moderate_growth,0
48_33,2,moderate_growth,0
48_34,3,moderate_growth,0
48_35,3,moderate_growth,0
48_36,3,moderate_growth,0
48_37,3,moderate_growth,0
48_38,3,moderate_growth,0
48_39,3,moderate_growth,0
48_4,3,moderate_growth,0
48_40,3,moderate_growth,0
48_41,3,moderate_growth,0
48_42,3,moderate_growth,0
48_43,3,moderate_growth,0
48_44,3,moderate_growth,0
48_45,3,moderate_growth,0
48_46,3,moderate_growth,0
48_47,3,moderate_growth,0
48_48,3,moderate_growth,0
48_5,3,moderate_growth,0
48_6,2,moderate_growth,0
48_7,2,moderate_growth,0
48_8,2,moderate_growth,0
48_9,2,moderate_growth,0
49_0,1,moderate_growth,0
49_1,1,moderate_growth,0
49_2,1,moderate_growth,0
49_3,2,moderate_growth,0
49_4,2,moderate_growth,0
51_0,3,moderate_growth,0
51_1,3,moderate_growth,0
51_10,3,moderate_growth,0
51_11,3,moderate_growth,0
51_12,3,moderate_growth,0
51_13,4,moderate_growth,0
51_14,4,moderate_growth,0
51_15,2,moderate_growth,0
51_16,2,moderate_growth,0
51_17,2,moderate_growth,0
51_18,3,moderate_growth,0
51_19,3,moderate_growth,0
51_2,3,moderate_growth,0
51_20,3,moderate_growth,0
51_21,3,moderate_growth,0
51_22,2,moderate_growth,0
51_23,2,moderate_growth,0
51_24,3,moderate_growth,0
51_25,3,moderate_growth,0
51_26,3,moderate_growth,0
51_27,4,moderate_growth,0
51_28,4,moderate_growth,0
51_29,3,moderate_growth,0
51_3,3,moderate_growth,0
51_30,3,moderate_growth,0
51_31,3,moderate_growth,0
51_32,3,moderate_growth,0
51_33,3,moderate_growth,0
51_34,3,moderate_growth,0
51_35,3,moderate_growth,0
51_36,3,moderate_growth,0
51_37,3,moderate_growth,0
51_38,4,moderate_growth,0
51_39,4,moderate_growth,0
51_4,3,moderate_growth,0
51_40,4,moderate_growth,0
51_41,3,moderate_growth,0
51_42,3,moderate_growth,0
51_43,3,moderate_growth,0
51_44,3,moderate_growth,0
51_45,4,moderate_growth,0
51_46,4,moderate_growth,0
51_47,2,moderate_growth,0
51_48,2,moderate_growth,0
51_49,2,moderate_growth,0
51_5,2,moderate_growth,0
51_50,2,moderate_growth,0
51_51,4,moderate_growth,0
51_52,4,moderate_growth,0
51_53,4,moderate_growth,0
51_54,4,moderate_growth,0
51_55,4,moderate_growth,0
51_56,4,moderate_growth,0
51_57,4,moderate_growth,0
51_58,3,moderate_growth,0
51_59,3,moderate_growth,0
51_6,2,moderate_growth,0
51_60,3,moderate_growth,0
51_61,2,moderate_growth,0
51_62,4,moderate_growth,0
51_63,4,moderate_growth,0
51_64,4,moderate_growth,0
51_65,4,moderate_growth,0
51_66,4,moderate_growth,0
51_67,3,moderate_growth,0
51_68,3,moderate_growth,0
51_69,3,moderate_growth,0
51_7,3,moderate_growth,0
51_70,3,moderate_growth,0
51_71,3,moderate_growth,0
51_72,3,moderate_growth,0
51_73,4,moderate_growth,0
51_74,4,moderate_growth,0
51_75,4,moderate_growth,0
51_8,3,moderate_growth,0
51_9,3,moderate_growth,0
53_0,1,moderate_growth,0
53_1,1,moderate_growth,0
53_10,1,moderate_growth,0
53_2,1,moderate_growth,0
53_3,1,moderate_growth,0
53_4,1,moderate_growth,0
53_5,1,moderate_growth,0
53_6,1,moderate_growth,0
53_7,1,moderate_growth,0
53_8,1,moderate_growth,0
53_9,1,moderate_growth,0
